text,label
NASA confirms discovery of water on Mars after years of satellite research,1
Scientists develop new vaccine that prevents COVID-19 with 95% efficacy,1
Government announces new policy for economic growth and job creation,1
World Health Organization releases guidelines for healthy living,1
Researchers discover new species of dinosaur in Argentina fossil site,1
United Nations passes resolution for climate change action worldwide,1
European Space Agency launches new satellite for earth observation,1
New study shows benefits of meditation for mental health,1
Tech company develops AI system to detect early stage cancer,1
Breakthrough in renewable energy storage announced by scientists,1
This product will make you rich in one day! Click here now limited offer,0
You won't believe what this celebrity did! Shocking video inside must watch,0
Make $10000 per week working from home! No experience needed apply now,0
Miracle pill that cures all diseases - doctors hate this one simple trick,0
The Earth is flat according to new research that scientists are hiding,0
Breaking: Government hiding alien contact for decades secret files leaked,0
One weird trick to lose weight instantly without exercise or dieting,0
This natural herb cures diabetes in 3 days - pharmaceutical companies furious,0
You have won a lottery! Send money to claim your prize of $1 million,0
Secret method to hack any website and get free money revealed,0
